company_id,metric_type,period_years,value_pct,period_label
HDFCBANK,sales_growth,10.0,21.0,years
HDFCBANK,profit_growth,10.0,22.0,years
HDFCBANK,stock_price_cagr,10.0,15.0,years
HDFCBANK,roe,10.0,17.0,years
SBILIFE,sales_growth,5.0,24.0,years
SBILIFE,profit_growth,5.0,6.0,years
SBILIFE,stock_price_cagr,5.0,8.0,years
SBILIFE,roe,5.0,14.0,years
SBILIFE,sales_growth,3.0,17.0,years
SBILIFE,profit_growth,3.0,9.0,years
SBILIFE,stock_price_cagr,3.0,7.0,years
SBILIFE,roe,3.0,13.0,years
SBILIFE,sales_growth,,43.0,TTM
SBILIFE,profit_growth,,18.0,TTM
SBILIFE,stock_price_cagr,1.0,-2.0,years
SBILIFE,roe,1.0,12.0,last_year
TCS,sales_growth,10.0,11.0,years
TCS,profit_growth,10.0,9.0,years
TCS,stock_price_cagr,10.0,14.0,years
TCS,roe,10.0,40.0,years
TCS,sales_growth,5.0,10.0,years
TCS,profit_growth,5.0,8.0,years
TCS,stock_price_cagr,5.0,16.0,years
TCS,roe,5.0,44.0,years
TCS,sales_growth,3.0,14.0,years
TCS,profit_growth,3.0,12.0,years
TCS,stock_price_cagr,3.0,8.0,years
TCS,roe,3.0,47.0,years
TCS,sales_growth,,5.0,TTM
TCS,profit_growth,,8.0,TTM
TCS,stock_price_cagr,1.0,16.0,years
TCS,roe,1.0,52.0,last_year
HDFCBANK,sales_growth,5.0,22.0,years
HDFCBANK,profit_growth,5.0,23.0,years
HDFCBANK,stock_price_cagr,5.0,8.0,years
HDFCBANK,roe,5.0,17.0,years
HDFCBANK,sales_growth,3.0,30.0,years
HDFCBANK,profit_growth,3.0,26.0,years
HDFCBANK,stock_price_cagr,3.0,8.0,years
HDFCBANK,roe,3.0,17.0,years
HDFCBANK,sales_growth,,47.0,TTM
HDFCBANK,profit_growth,,27.0,TTM
HDFCBANK,stock_price_cagr,1.0,13.0,years
HDFCBANK,roe,1.0,17.0,last_year
INFY,sales_growth,10.0,12.0,years
INFY,profit_growth,10.0,9.0,years
INFY,stock_price_cagr,10.0,15.0,years
INFY,roe,10.0,27.0,years
INFY,sales_growth,5.0,13.0,years
INFY,profit_growth,5.0,11.0,years
INFY,stock_price_cagr,5.0,22.0,years
INFY,roe,5.0,29.0,years
INFY,sales_growth,3.0,5.0,years
INFY,profit_growth,3.0,10.0,years
INFY,stock_price_cagr,3.0,4.0,years
INFY,roe,3.0,31.0,years
INFY,sales_growth,,3.0,TTM
INFY,profit_growth,,8.0,TTM
INFY,stock_price_cagr,1.0,27.0,years
INFY,roe,1.0,32.0,last_year
SBILIFE,sales_growth,10.0,23.0,years
SBILIFE,profit_growth,10.0,9.0,years
SBILIFE,stock_price_cagr,10.0,9.0,years
SBILIFE,roe,10.0,16.0,years
